match_id,P1Name,P2Name,P1Hand,P2Hand,P1Points,P2Points,result,winner,loser,tournament_name,surface,start_date,winner_return_points_total,winner_return_points_won,loser_return_points_total,loser_return_points_won
20221130-W-Andorra-R16-Sabine_Lisicki-Alina_Charaeva.html,Sabine Lisicki,Alina Charaeva,RH,RH,68,42,Sabine Lisicki d. Alina Charaeva 6-0 6-3,Sabine Lisicki,Alina Charaeva,Andorra,hard,2022-11-30,49,28,61,21
20221127-W-Montevideo-F-Leolia_Jeanjean-Diana_Shnaider.html,Leolia Jeanjean,Diana Shnaider,RH,LH,63,70,Diana Shnaider d. Leolia Jeanjean 6-4 6-4,Diana Shnaider,Leolia Jeanjean,Montevideo,hard,2022-11-27,68,33,65,28
20221126-W-Montevideo-SF-Diana_Shnaider-Kateryna_Baindl.html,Diana Shnaider,Kateryna Baindl,LH,RH,67,48,Diana Shnaider d. Kateryna Baindl 6-3 6-2,Diana Shnaider,Kateryna Baindl,Montevideo,hard,2022-11-26,49,26,66,25
20221124-W-Montevideo-R16-Brenda_Fruhvirtova-Kateryna_Baindl.html,Brenda Fruhvirtova,Kateryna Baindl,RH,RH,44,63,Kateryna Baindl d. Brenda Fruhvirtova 6-4 6-0,Kateryna Baindl,Brenda Fruhvirtova,Montevideo,hard,2022-11-24,62,35,45,17
20221123-M-Davis_Cup_Finals-QF-Marin_Cilic-Pablo_Carreno_Busta.html,Marin Cilic,Pablo Carreno Busta,RH,RH,118,113,Marin Cilic d. Pablo Carreno Busta 5-7 6-3 7-6(5),Marin Cilic,Pablo Carreno Busta,Davis_Cup_Finals,hard,2022-11-23,106,42,125,49
20221122-M-Davis_Cup_Finals-QF-Jordan_Thompson-Tallon_Griekspoor.html,Jordan Thompson,Tallon Griekspoor,RH,RH,112,102,Jordan Thompson d. Tallon Griekspoor 4-6 7-5 6-3,Jordan Thompson,Tallon Griekspoor,Davis_Cup_Finals,hard,2022-11-22,93,36,121,45
20221122-M-Davis_Cup_Finals-QF-Botic_Van_De_Zandschulp-Alex_De_Minaur.html,Botic Van De Zandschulp,Alex De Minaur,RH,RH,91,101,Alex De Minaur d. Botic Van De Zandschulp 5-7 6-3 6-4,Alex De Minaur,Botic Van De Zandschulp,Davis_Cup_Finals,hard,2022-11-22,88,32,104,35
20220918-M-Davis_Cup_Finals-RR-Andy_Murray-Dmitry_Popko.html,Andy Murray,Dmitry Popko,RH,RH,68,52,Andy Murray d. Dmitry Popko 6-4 6-3,Andy Murray,Dmitry Popko,Davis_Cup_Finals,hard,2022-09-18,65,29,55,16
20220916-M-Davis_Cup_Finals-RR-Tallon_Griekspoor-Daniel_Evans.html,Tallon Griekspoor,Daniel Evans,RH,RH,60,69,Daniel Evans d. Tallon Griekspoor 6-4 6-4,Daniel Evans,Tallon Griekspoor,Davis_Cup_Finals,hard,2022-09-16,62,23,67,21
20220916-M-Davis_Cup_Finals-RR-Cameron_Norrie-Botic_Van_De_Zandschulp.html,Cameron Norrie,Botic Van De Zandschulp,LH,RH,46,67,Botic Van De Zandschulp d. Cameron Norrie 6-4 6-2,Botic Van De Zandschulp,Cameron Norrie,Davis_Cup_Finals,hard,2022-09-16,58,26,55,14
